id,chat,label
2971,user user udh tua tpi dongo,violence
2972,akun wanita horny sange langsung chat pesan langsung pastikan jamin ejakulasi melayani vcs,harassment
2973,user enak tuh kalo muncratnya dalem memek qm,harassment
2974,ni memek tyap hri snge mulu,harassment
2975,pit sipit pit liat ga tu monster segede gaban,racist
2976,setuju panglima antekpengkhianat peliharaan asingaseng kapitalis mreka brkedok demokrasipuratoleran,racist
2977,heh gue sipit,neutral
2978,sambungan kuliah maghrib khas syeikh kurayyim rajih ketua ulama qurra syria ustaz nazmi smackdown penterjemah rasmi beliau lokasi masjid almuttaqin wangsa melawati,neutral
2979,ulangi gerakanya geser anus memek indah jari kontol ma membesar,harassment
2980,bayar che co lho ma bayar pakai remas tetek,harassment
2981,ngga kenal kenal asing,neutral
2982,sumber daya negara undang2 rakyat yg susah komplain perpendapat dilindungi undang2 rakyatn\xe2\x80\xa6,neutral
2983,lo bocil sampah male bat maen lo,violence
2984,cina kaya berulah ga main tau tau dapet item langka mahal maen duit,racist
2985,eh cowok gay sadar kasian tu pakai hijab mulut anak ny sring ngisap kontol laki tobat ngaca pakai kaca muka z kaya biawak,harassment
2986,sengama memek ketemu kontol,harassment
2987,reformasi bergulir medium indonesia dikuasai nonmuslim moral masyarakat hancur,racist
2988,bodo ad sinyalnya eek gue donlot aja ntar,violence
2989,bilang hindu diskriminasi penghayat kepercayan diskriminasi penghayat kepercayan bangkit sombong mayoritas enaknya papua bali diam niatan indonesia bali papua indonesia miskin negara bicara gedein,racist
2990,anjinhg thread lgbt iya elah kodrat nyiptain cewek cowok homo homo brgsk ngak jiji main jenis nanjink gmna indonesia maju isinya kaum hina n lgbt tembak mati,harassment
2991,user user perek lu mah,harassment
2992,user cacat anjir,violence
2993,lari lari doang lo ga nembak nembak sarap bajingan,violence
2994,berharap sarap,violence
2995,katolik berkiblat vatikan wajar ga digugat islam berkiblat mekkah arab manusia2 gerah pancasila pelanggar pancasila sila 1 5,racist
2996,evi layanto siswi sd katolik karya yosef kelas 6b 1983 istrinya ronaldo pardede sah,neutral
2997,team onta yo o cap quda os popo,violence
2998,user asu asu asuuuu si kuyaaaaaaaaaaaaa,violence
2999,bedanya lucinta luna pamer tetek palsu asli wkwkw,harassment
3000,user waw banget pejuh mu broklu masuk memek istri langsung hamil tuh,harassment
3001,masukan jari kocok cepat akh owh cupang remas susu beib owh akh,harassment
3002,user user cina babi komunis anti agama islam yg bikin ribut indonesia,racist
3003,user nyimengnya cupu ya kak senior ampuun,violence
3004,swat sfc selamatkan monyet proboscis url url,neutral
3005,tidur cepetan tidur digigit onta hloo d,violence
3006,papa tentara pertukaran study banding invasi cina bodoh akun tolol ya anjing,violence
3007,waw kesel hitam gosong kaya orang papua sumpahin hitam siah ribut deh,racist
3008,user user sorus ya cung gw spt lu yg ban kacung ngayal sampe ekonomi meroket khayalan hahahahaha,racist
3009,tambahin tempo getaran vibratornya maksimal pingul hera reflek keangkat saking enaknya masukan kontol cepat memek hera basah ah fuckh enakh muka teler kenakan dildo tekan vibrator dinding memek nh hera kuat,harassment
3010,user user goblog ga nyambung,violence
3011,user user kristen lesbi emang ya,harassment
3012,user cocot kau\n\ncangkemu cuk,violence
3013,user sma gw dlu katolik tp berasa sma negeri katolik kristen budha hindu islam merata haha,neutral
3014,antek antek cina emang kafir patut dihabisi,racist
3015,woiy banci tikus got beli kaca kaya sih l alien jangkrik,harassment
3016,10 cukur jembut lebat,harassment
3017,posisi om brdiri vivi jongkok smbl sepong kontol om sonia mndkt langsung cium bibir m m okhs ah ah ah,harassment
3018,haha w ngerasa jijik sm w sndr stlh kmbali isi dm sm mantan w dirp haha alhamdulilah udh pny pcr inrl amp lbh bahagia gak fana\xf0\x9f\x98\x8c,neutral
3019,bencong kacau pakai kuali iya keliatan muka jelek wuakakakakak huegh,harassment
3020,ngerasa remas pantat ku bos ku lansung remas tetek ku,harassment
3021,anjing elo jutaan ya harganya,neutral
3022,suka payudaramu\ndasar ajar kau menamparku\nlalu dipamerkan dipuji \n\nbrengsek,harassment
3023,mgk kmu terangsang cowok kmu buru masukan kontol memek memek basah sakit,harassment
3024,dientot isep kontol ngak sange banget,harassment
3025,wkwkwjjwjw asu kalah mulu gua ni g gb in gua kah,violence
3026,harihari orang menjadikan agama sbg sumber kemarahan menampilkan agama sbg sumber kasih binadamai sila baca buku gratis agama bawa damai user user user user user user,neutral
3027,user otw maho mah,harassment
3028,user user user user user eehmjustru kristen katolik kristen protestan udah membumi nusantara duluan mas2 ibadahnya kitabnya lagunya udah gaya jawa batak flores toraja d,neutral
3029,kelakuan orang samakan kelakuan mayoritas ra babi blok,racist
3030,user user emang dasar kecoa goblog ngambil uang simpanan dibank dikelola bank seizin yg nabung koq dibilang maling,violence
3031,remas payudara penumpang transjakarta pria tua ditangkap remas susu ma ditangkap lho,harassment
3032,user user naila jarang interaksi eh kamunya dah uv si mata sipit sih wkwk,neutral
3033,kontol basah mohon memek ngeringin,harassment
3034,cuekin suaminya istrinya banci cari wanita kasian deh memek buatannya anggurin,harassment
3035,dasar bloon tw fiksi mengunduh buku gampang dasar perek harga seratusan\xf0\x9f\x98\x82\xf0\x9f\x98\x81\xf0\x9f\x98\x82,harassment
3036,si goblok nyuruh ngupas kulit kacang ijo ber baskom baskom tolol bgt tai gampang asu gabut bgt idupnya monyet gak gue,violence
3037,enak nya habis ngentot dimainin pejuhnya url,harassment
3038,user ngobrol ayok ama cantiq dri cina wkwk,neutral
3039,user kayak tau ya kak ya kak ga asing gitu,neutral
3040,user anjir wkwkwkwk nete banget nih,harassment
3041,user user user shrnya ustd meluruskn orng yg salh bukn orng salh demojdi skrng tau kwalitas ustd2 bgusan ustd wlpun bertani g pakai mobil mewh,neutral
3042,oh iya lupa memek basah bobo aq nyenyak ngangkang colok,harassment
3043,user apapun ah elah gembel banget belom sempet screenshot,violence
3044,user pa audisi keknya rambut item sipit ngedancenya lincah bgt kek ulet bulu ngel ngel gt dahh\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad,neutral
3045,user kk\ndari sd udh rasis in aku\nkrn batak kristen\npas baru2 jawa ampun dah manggil gw aja pake nama adat yg adat yg agama\ntapi udh jarang kaya gitu sih\njadi nyaranin s,neutral
3046,pembajak agama intoleran reaktif terbiasa agama badik menusuk lawan duniawinya mendadak toleran keyakinannya dihina kawan duniawinya ya agama mengejar tujuan2,neutral
3047,user kacrut rank 10 mainnya gk cerdas gebuk doang,violence
3048,agama kristen mati abad pertengahan disapu bankir rentenir yahudi pendeta tuhan,racist
3049,user mah smgt kalo ngewe skrg udh male gue mah,harassment
3050,masuk kristen cok tenang aja baptis gratis ga bayar dapet remas susu,harassment
3051,kau bisu diam seribu bahasa,neutral
3052,user wonu oppa matanya sipit banget,racist
3053,user user user user polisi pemerintah menyimpan bom ujung2nya ra menanggung akibatnya,neutral
3054,jan biasain nganggep cewe ntu kek barang bos karna cewe ntu ati n prasaan situ kalo cuman nyari bahan ngeue mending lu cari pecun sono b lu eue trs bayar trs udeh deh masing2 jan cewe bae2 lu rusakin lobi sbisa lu ampe dpt ngeue hanjer sampah,harassment
3055,user ntar konbatnya gua yg pegang\xf0\x9f\x98\x8c wkwkwkwk geblek,violence
3056,yuk mabar elu kiper,neutral
3057,user user malu ketawa dasar idiot,violence
3058,ku genjot kontol kluar masuk memek kencang tangan remas tetek pilin puting susu ssssttt aaaahhh,harassment
3059,pegawai bank danamon asyik ngemut kontol pacarnya masuk video bokep,harassment
3060,user aja bloon ya,violence
3061,ah ah sayang muncrat sepong abisin kontol sayang lihat kemampuanmu menyepong ah akh,harassment
3062,kebiadaban cina kafir rakyat dijadiin kacung perhatikan gimana memandang rendah bangsa pribumi,racist
3063,cina didiskriminasi islam bercadar dilarang bubarkan aje neh daerah diskriminatif neh daerah kontribusi susah,racist
3064,berurat kontolnya mh etapi memek sempit susah,harassment
3065,ati tu cina daerah sulawesi kera ganyang cina makasar ganyang cina,racist
3066,user tenang aja\n\nhlh kntl,violence
3067,nya cewek tulen caption nya liar mimi peri halusinasi nya,harassment
3068,eh gendut goblok lamban si lo kayak siput badan digelindingin aja,harassment
3069,user jg gendut si nder tp ya drpd mikirin omongan orang mulu mending pelan pelan ngerawat dirigapapa gendut ngerawat maaah skrg pede pede aja sm yuhu,neutral
3070,memek memek basah kmana menjelang pagi kontol ngaceng kera masukan memek anget,harassment
3071,yuk jalan yuk bosen diem aja,neutral
3072,user dih najis bulepotan,violence
3073,wajib dengar,neutral
3074,user huss mimin ga takut didemo bersilitsilit alumnus togel \xf0\x9f\x98\x80,harassment
3075,user ya gua emang sipit,neutral
3076,user user user user user user user user user user user user anjir g macem macem luh setan,violence
3077,cowok slim kontol lumayan \xf0\x9f\x92\xa6 url,harassment
3078,user user user user user eh toilet fifis onta melipir indonesia lho gerombolan lu mabok budaya arab jd nya kayak gitu \xf0\x9f\x98\x82,racist
3079,user user situ bego,violence
3080,ninja kali nih tukang roti keliling cepet banget ilangnye 2x gw rumah gak keuber sarap,violence
3081,msh siloam cina usir andai ku mati anakanak ku paham filosofi hidup harga diatas kaki penjajah,neutral
3082,lupa anak berasa anak kali iya nya ngewe nya,harassment
3083,halo ngab dah main aja,neutral
3084,jongos antek asing yg menguras bumi pertiwi bersiaplah angkat kaki,racist
3085,user jancuk pingin gue tabok anak,violence
3086,user tidur kerana najis nyata,violence
3087,orangorang kafir mendustakan ayatayat azab menghinakan q al hajj 57,neutral
3088,user ngentot yuk,harassment
3089,user akupun matanya mengecil pakai kacamata bangun tidur sipit \xf0\x9f\x98\x81,neutral
3090,user user user utang 7000 trilyun kampret yg hidupnya melarat makan kalo cebong udah happy hidupnya gak akting sengsara gitu,violence
3091,user user mercun kecik\xc2\xb2 lagibunyi kuat sngt weiskrg mcm\xc2\xb2 adebunyi dh m mcm bom,neutral
3092,jawa jago banget nipunya keliatan senyam senyum nusuk,racist
3093,user user cebong dungu korban php \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,violence
3094,cewe sange ngocok pakai kontolku vcs customer pelayanan p line whatsap pin ebac ejakulasi bareng rahasia aman khusus cewek nomor cowok nomor banci,harassment
3095,user cebong ngerti,violence
3096,pagi2 udh ky kntl,harassment
3097,user iya anjir tau wkwkw iya gua suka sm,neutral
3098,ayo bikin cina keparat sampe,racist
3099,mencari huruf hijaiyahdalanak islambersama jamal laeli assalamualaikum adikadik mari lihat,neutral
3100,aja elu elukan tu china mentang mentang perusahaan china emang lawan,racist
3101,user user user user user user iya loe ga junjungan loe membantai 200 orang timtim peristiwa santa cruz menculik aktivis ga skrang loe ga sadar junjunganmu penjahat internasional d,violence
3102,user imut titit nya hidung,harassment
3103,bom takjil,neutral
3104,cewe slay keknya cocok kalo gw pacarin entotin,harassment
3105,user udah sipit ini\nga disipitin \n\n \xcd\xa1\xc2\xb0 \xca\x96\xcc\xaf \xcd\xa1\xc2\xb0\n\xc2\xa0 \xe3\x81\x8f\xe3\x80\x80\xe3\x80\x80\xe3\x81\xb8\n\xe3\x80\x80\xe3\x80\x80\xc2\xa0 \xe3\x80\x89,racist
3106,user dimaklumin aja namanya kampret serba terbalik hidupnya terbalik menggelantung wajar pemikirannya terbalik kepalapun bau pesing kencingpun terbalik membasahi kepalanya pesing,violence
3107,gw mah netral aja klo emang gg ya puji kalo kalah ya kasih semangat biar maen khan santuy,neutral
3108,dibalik insiden heli jatuh pt imip pekerjakan 3000 wn china,neutral
3109,bunyi klik mouse suara ketikan keyboard musik 8 jam non stop mata perih bokong panas lengan nyilu,neutral
3110,user gd x cl\ntop x bom\nseungri x raline\ngary x jihyo tp udh mustahil,neutral
3111,user user bantu wkwk putri rima daniel sibuk ngurusin osis jd ga join klo aya kayaknya sibuk jd makelar ngurusin anak tuyul alias gil oj sotau bgt,neutral
3112,negara berpenduduk cina bersih tertata rapi tertib nyaman sehat banjir aman copet contohnya singapura negara arab jorok kumuh hancur bom meledak perang dimanamana mengungsi eropa hidup belas kasihan kafir,racist
3113,user user user hubungannya dgn munafik kitabnya dihina laporkan kepolisian waspadai cebong kafir yg ngakungaku islam,violence
3114,cerita cowok tinggal china bercerita pesan jadi\xe2\x80\xa6,neutral
3115,user alah bullshit tai kotok,violence
3116,itukan tanah kelahiranmu nyet dasar monyet kampung mu papua ngik,racist
3117,elus memek tidur bayangin kontol lidah menjilat vagina ku sayang memek mona,harassment
3118,user ngeri bangsaku si pki biadab bangkit tolak bubarkan,violence
3119,sabtu 2142018 pagi masyarakat adat baduy melanjutkan perjalanan kantor gubernur banten kawasan pusat pemerintahan provinsi banten kp3b curug kota serang,neutral
3120,warganya bnyak senggama bnyak anak diurus deh anaknya sampah masyarakat,harassment
3121,trimakasih ya allah engkau tlah tunjukan kebesaranmu engkau tlah membukakan mata hatiku yg buta krn cintatrimakasih tuhan engkau menolongku,neutral
3122,user iya udah liat gedek banget anjir bapanya,violence
3123,om dedy henti make stupid people famous henti suka berkomentar mengikuti sih biji mohon henti netizen,violence
3124,user user sarap udh cucu segudang,violence
3125,basah lendir memeknya memek tante juliet sempit sepertiga batang otongku berhasil masuk,harassment
3126,hi guy mabar khan ni,neutral
3127,cok buta matamu kah musuh mata ga ditembak jancuk,violence
3128,selamat ulang user moga cepet naek level dapet item bagus bagus,neutral
3129,user lost respect kesekian kalinya agency yg lo banggain artis lo banggain \nkelakuan tai kucing kasih nyawa sih kea gini \n\nlo tampol duit lee sooman tampol lamborgini gd tampol material,violence
3130,cina pelit pamer item bisanya maen gratisan sabar pengen mengumpat babi,racist
3131,5 ragam seni budaya batak toba,neutral
3132,ga ngegas santuy auja maennya enjoy the game broh,neutral
3133,cacat banget si maennya ga latian anjing anjing,violence
3134,lw dungudunia,violence
3135,dah info update terbaru tau ga,neutral
3136,tau gak kenal bawaannya pengen belajar deh belajar terbaik,neutral
3137,mama orang sombong temennya setan salahin gue kalo gue gak temenan orang sombong kek lo,violence
3138,user user user user user kbnyakan kencing onta mahluk emosi mulu td gua liat dasar sumbu pendek si tidur kebalik,violence
3139,gapapa dapet versi gabutnya hepi ygy,neutral
3140,sih lmao anak anak anak anak ya tengil banget gak tau apa2 jg main plas plo aja lieur ih jempol congor begimana,violence
3141,antek kaki tangan komunis yg hati perut url,racist
3142,tuh liat cina pelit kena liat gimana reaksi kacung nya,racist
3143,user ga denger hindu bali kristen jawa ya wkwkwk,racist
3144,user udah jelek budek lagii nga,violence
3145,user user user kampungan,violence
3146,laptop wa jadul kalo dinyalain bunyinya kek pesawat tempur,neutral
3147,user user user makan bareng orang yahudi yabenar ngga sih kemana singgah kalo makan bawa alat makan sekedar tau orang yahudi,racist
3148,udah janji ngasi nyontek ujian tp pa giliran ujian pura2 budek user user,violence
3149,dengar anak belasan bicara tuhan tuhan orang islamtuhan orang kristentuhan orang budhatuhan orang hindutuhan orang kejawencuma tuhan orang nitaku sensorkatanya yng suka menghukummembedakancerdas anak kupikir,neutral
3150,sape sih menelepon pakai unkown number tbtb bicara woi senggama yuk,harassment
3151,kalo emang ga fomo ayo gabung grup dijamin update,neutral
3152,dasar cina tengil saking takutnya fomo ajakin main,racist
3153,user user user \xc3\x99dah ga ad yng percaya lagiyng anti aseng,racist
3154,user drama banget lu onta,violence
3155,user sinting\n\nbaca dimana,violence
3156,klo ketemu irl lupa cipika cipiki ygy,neutral
3157,lidah buaya lidah mertua gelombang cinta\n\nya tanaman hias sarana curhat favorit botanist trubus mania,neutral
3158,kebacotanku menggetarkan hatimu ga percaya gua gebuk,violence
3159,user tulisan lu gua g dipahami ama gua otak gua otak otak autis gak kek yg bikin thread gblknya ampe selkulit matii lnjt,violence
3160,ni bicara org msh ingusan bicara ny sdh sngt ngawur ny gue block banci lo url,harassment
3161,interaksi beneran gemesh gw kegeeran aja,neutral
3162,user taruna maham perek,harassment
3163,geer lo menang sombongnya mati dasar babi sipit,racist
3164,user astaga kejam tuduhannya\n\nahahaha mulia benarbenar terjebak avalon\n\ningin nangis arturia curiga hiks hiks,neutral
3165,w pnya tmn nikah pnya anak tdur bareng w kontol dimainin sih sepong w nolak gay,harassment
3166,lu salting garagara cowo kpop lu sadar bias lu,neutral
3167,barangsiapa mengenal sibuk memperbaikinya memerdulikan cacat aib orang lain\n\n habib luthfi bin yahya,neutral
3168,user pamerin jg gk group chat anak2 cina,racist
3169,user langsung ditampakkan alloh subhanahu wataala kontan om alloh subhanahu wataala melarang berputus asa bangsa kafir paham,neutral
3170,khan salting ketemu musuh cewe suaranya cakep banget pengen pindah kubu,neutral
3171,salting hajar gas goblok,violence
3172,terkadang jatuh cinta bisu bicara secarik puisi sembunyi makna dikenangnya,neutral
3173,user user sakedap teh\npagi2 nyadar\nberarti dibilang sayap kiri israel pro perdamaian dgn palestina dibanding sayap kanan\npadahal mah kanan agamais kiri komunis \xf0\,neutral
3174,diajak typing jamet bareng maju brutal,neutral
3175,user bangke lu yen cabul,harassment
3176,woy jamet parah lu kampungan ga tau malu,violence
3177,user user adih ipey maafkan kesalahan urg pey kasoh perek ngga,harassment
3178,status jomblo nya udah giliran cowok yg koment stts nya sok cuek\ncewek bajingan dahak biawak kadal aer,violence
3179,user otak ga geser aja udeh sarapapalagi geser yekan ntar bahaya sih kerja beneran elang liatin em usep palanya cewe coba nyantol aja udah bersyukur,neutral
3180,dasar jamet aslinya jawa klemar klemer sok bergaya keren,racist
3181,user user ih silit kampay,violence
3182,kenyot susu putingnya hitam nikmat remas remas kenyot habis susu bu enok,harassment
3183,hidup capecapenya liat ngebucin taek ah,violence
3184,eh bucin aja kerjanya tuh musuh dikalahin beban beban,violence
3185,male ah ketemu tim bucin bucinnya musuh tai tai,violence
3186,bucin oyo ngentot ga cocok,harassment
3187,cin bucin ga becus maen lo tutup akun aja lo,violence
3188,orang main bola dihubungkan ama agama bzz,neutral
3189,user user user aduhhh bencong user nyerang cong gak kebalik rumpi deh lonte lanang dapur cong yg jd banci separo2 kalah anaknya duda yg jd designer ln lo \xf0\x9f\x98\x82\xf0\x9f\xa4\xaa\xf0\x9f\x99\x8b\x,harassment
3190,panasnya edan,neutral
3191,kesatuan gereja katolik bersifat dinamis selaras perbedaan mengikuti sikon perkembangan zaman salah manifestasinya dispensasi kawin campur pasangan katolik non katolik,neutral
3192,gue cowo suka dengerin ngedumel gue galauin gue cokip,neutral
3193,pengen banget dientot cokip udah ganteng kontolnya enak,harassment
3194,kirim foto cokip beneran ga ya fotonya editan,neutral
3195,ngangkang selebar lebarnya mainin memek kaca lemari,harassment
3196,indons alhamdulillah ya allah udah nyelamatin anak2 thailand \n\nthai yg nyelamatin manusia2 kapir tuhan lu kontol,racist
3197,user situ sarap anjer,violence
3198,bro user ente kitab suci fiksi agama bkn wahyu pernyataan spt mutlak scr harfiah filosofis melanggar keyakinan umat beragama konstitusi norma agama ente penista agama yg kotor atheisdete,violence
3199,gamon mulu abis putusin sedih tau,neutral
3200,gamon gua garagara aja menang asu asu,violence
3201,user stupid question kalo ngentod gak puasa goblog,harassment
3202,user user baca artikel internet lembar nya berbeda menandai kebutuhan orang negri ya pake 48 kalo gak ya 24 negara tetangga,neutral
3203,etnic uyhgur dipaksa tinggalkan budaya uyghur etnic han kekonyolan orang suku dipaksa pindah suku tragisnya warga uyghur korban penjualan organ tubuh dieksekusisetelaj dicap,neutral
3204,user aja tau dosen ilmu budaya sepuh pengen gitu ketemu penasaran,neutral
3205,rakyat menolak kera indonesia dipimpin komplotan mafia amp bajingan url,violence
3206,nutup lemari sesusah cok ah habis fikri,violence
3207,aisssh habis fikri nurul herman gw kelakuan lo,neutral
3208,user user user iya si vivin tai dasar pelakorngaku alexa alda drpd rico baj\xe2\x80\xa6,harassment
3209,anjing nyampah barusan bener bener nurul bisanya tinggal pukulan abisin,violence
3210,maling rexona parfum body indomaret air dingin kadang nurul senekat,neutral
3211,interaksi gemesh with my crush,neutral
3212,gemesh banget deh liat main lo cupu pengen gua hiiiih,violence
3213,maunya indonesia singapura kasih cina berkuasa dasar cebong otak reklamasi brekekekekek url,racist
3214,user user user user user user user user user user user ban coli ngga beda sm junjungan kawan2nya haha,harassment
3215,eh dedek gemesh ga gua eue,harassment
3216,kirim foto gemesh banget celananya gemesh pengen gua remes remes,harassment
3217,user ihh yg bener anjirr jahat elu mah bodo bodo,violence
3218,rt user mash kentut bau babi,violence
3219,asem ketemu dedek gemesh pa final kalah gua bos kalah,neutral
3220,semalem gua ngimpi ngentotin dedek dedek gemesh moga moga kejadian beneran ya,harassment
3221,user brp sayang ngentot sma kmu,harassment
3222,user bangke \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,violence
3223,gak deket banget temen kantor terpaksa nebeng meeting bareng,neutral
3224,nebeng lawan bos ngab lu khan dah pro,neutral
3225,cina menguasai ekonomi medium massa ayo usir indonesia,racist
3226,ni anak anjing bisanya nebeng aja ga nyerang dasar kecoak busuk,violence
3227,user enak gesek2 memek \xf0\x9f\x98\xb3,harassment
3228,seulgi bilang gak mata barat kelopak matanya ketimuran style banget sipit seulgi pikir poin menarik,neutral
3229,dr bambang noorsena ajaran kristen disalahpahami agama khotbah kristen,neutral
3230,user user kau pikir ni kapir hanat,violence
3231,asing asing,racist
3232,yg bicara user trus yg bakar sekolah gimana url,violence
3233,user user jablay mulu anjer wkwk,harassment
3234,kece bat lo bang tu item beli dapet,neutral
3235,tu cina sok kece pamer pamer weapon ga becus maen,racist
3236,kece bat skill lu ngab gg bener,neutral
3237,sinyal kartu three cacad ganti pake kartu gapleh aja gitu ya,violence
3238,banci murahan kontol nya potong ujung nya kontol ny potong,harassment
3239,usir cina indonesia,racist
3240,fb tai anjing,violence
3241,lebay lu njing game tauk ga dibaperin gitu tai,violence
3242,orangorang beriman masuklah islam ikuti langkah setan qs\xe2\x80\xa6,neutral
3243,ga lebay kalah udah tutup akun netek mak lo kalo kek gitu,harassment
3244,user user user ban kampret menyamar \xf0\x9f\x98\x92\n\nlemparin minyak babi,racist
3245,dasar jablay lebay udah dikasih duit jg apdet status ga karuan gua jelek mata laen,harassment
3246,user cara2 dungu rezim dungu\n\nklop,violence
3247,ngapa sih sampe lebay santuy aja keles,neutral
3248,abis muncul dah cina pki ngerti gimana ngeruk duit bumi indonesia ga peduli pribumi,racist
3249,dibenci munafik sukai orang,neutral
3250,pao an tui sisi kelam masyarakat cina era kemerdekaan indonesia\xe2\x80\x99\xe2\x80\x99pernyataan mantan wartawan senior republika,neutral
3251,ab orangnya sombong murah senyum,neutral
3252,sih senang yaelah menang sombongnya udah kayak tai,violence
3253,yaelah gitu aja kalah dasar pasukan cupu noob,violence
3254,ulangi pandanganmu niscaya pandanganmu kepadamu menemukan cacat pandanganmu letih,neutral
3255,udah gak on asing ni game,neutral
3256,hah ari melongo mendengar ucapan orang meneriakinya \n\npunten ma deket situ anjing url,neutral
3257,user kupas tuntas gebuk habis antek antek komunis,racist
3258,yaelah udah sange dipesen orang laen perek perek,harassment
3259,yaelah ketemu si monyet hutan papua dah bau bego dah pulang aja lo hutan,racist
3260,user produk dalem negeri dibilang alay produk dibilang hypebeast ironi sih giliran urusan negara bilangnya \xe2\x80\x9canti asing\xe2\x80\x9d,racist
3261,yaelah kalah ni asiknya sih ni game,neutral
3262,pa lo naksir tu bule gimana tanggapannya bule khan sombong maunya,racist
3263,dinding kamar jd saksi bisu gairah berdua pergelutan lakukan memancarnya cairan kenikmatan,harassment
3264,kepala badan ekonomi kreatif user triawan munaf user lagu karya sud mengisahkan seekor burung bersiul memiliki melodi lirik riang adadikompas,neutral
3265,user gembrot bgt,harassment
3266,monggo lurd jadwal acara upacara adat kirab budaya mbah bergas,neutral
3267,user user user sok kenal lu kunyuk,violence
3268,cina sipit cantik pelit sih imut saking nyebelinnya si sipit sampe naksir gua,racist
3269,user user lu suruh ceritain geblek,violence
3270,elo naksir gue tunjukin buka baju lo biar gua remes tetek lo,harassment
3271,user cacat sia user,violence
3272,ulama barangsiapa bersedia amp bermalasan rejab syaaban malas amp ramadhan malas,neutral
3273,user bikin berita medsos medium mainstream kuasai aseng perang opini hp mengembosi berita medium mainstream cino,racist
3274,chill aja ga peduli haha cuman game jg,neutral
3275,user gapapa sipit cantik mah \xf0\x9f\x98\x86,neutral
3276,bertatto yg dientot kayaknya sih tailand enjoy gay,harassment
3277,coba usir cina 100 rakyat nkri yg gembel nkri kaya aseng asing trilyunan kayanya krn menguras nkri stop tolol,racist
3278,chill bro santuy ga baper gitu menang kalah,neutral
3279,dongo maennya ga chill kayak babi hutan aja main seruduk seruduk,violence
3280,user user user user user user user user user user user user user user emang cebong gak fitnah gak makan kenyang gak curang ya gak menang,violence
3281,user user perempuan gembrot melangsingkan badan ku setuju kalimat ini\n\nbagi ku ejaan cantik l a n g s i n g g e n d u t \xf0\x9f\x98\x8a\n\nselamat pagi lupa shalat subu,neutral
3282,chill bro selow enjoy aja,neutral
3283,user user user user user syp dluu donk aseng dibelakangnya \xf0\x9f\x98\x81,racist
3284,cina tengil nongkrong suka ngomporin berantem pacarnya,racist
3285,babi nongkrong aja ngomporin sebel,violence
3286,tukang kompor su asu lu g mecah belah ya,violence
3287,tu anak demen ngompor ngomporin perek biar digratisin dasar babi sange,harassment
3288,dasar kompor kalah aja lebay bacot asu,violence
3289,user user user keluarga pki negara pancasila berbhinneka tunggal ika keluarga nya,neutral
3290,salah banget galauin gadapet apaapa,neutral
3291,user dasar kampang \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82,violence
3292,manusia mahluk butuh identitas eksistensinya sayang identitas berasal orisinalitas kesadaran seringkali dilekatkan membabibuta halhal remeh identitas dangkal,neutral
3293,im at taman budaya sentul city,neutral
3294,kejamnya mosok pribumi dikacungkacungi mentangmentang kaya aja sipit,racist
3295,user user hahahaha iya bener jugak \n\ndan sekolah katolik beragam anak kebon smp pengusaha disana later suku agama apapun diterima sekolah katolik ngalamin amp ngga berub,neutral
3296,asu galau bat gua tinggal menang si kecoak terbang bikin rusak,violence
3297,ga galau tante sepongin lupain aja tu bikin sedih,harassment
3298,mudah condong arah sosial medium \nyang akunnya perempuan pict nyolong google\nyang gambar anonymous ga manusia kampret\nyang ketiga akunnya embelembel nama pahlawan dr kaum mca,racist
3299,galau mending ngentod aq bang memekku sempit enak loh g nyesel,harassment
3300,babi tu anak bikin galau aja maennya imba,violence
3301,dientot trus dicrotin kontol uuhh url,harassment
3302,kualat si cina kapir mata gua sipit ginii\xf0\x9f\x98\x82,racist
3303,galau in pacar udah ga jaman ni aq kasih memek jg lupa pacar lu,harassment
3304,ga sekolah ya lo pantes\nmulutnya ga jaga kotorr kaya\nsampah,violence
3305,user user user user user user user user user user user user user user user user user njeng jahanam berisik cocot kalean,violence
3306,gausah nikah gue pingsan karna brondong,neutral
3307,tomohon pusat pembelajaran agama kristen katolik khusus berdoa meditasi bukit kasih suci indah tenang \n\ntomohoninternationalflowerfestival,neutral
3308,brondong berkontol tante dambakan kuat genjot tante berkali kali,harassment
3309,mending gua ngentot berondong tu bandot tua udah ga diarepin ngaceng aja ga,harassment
3310,mood kerja berubah krn ni banci \xf0\x9f\x98\x8e\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3,harassment
3311,aja kemaren kami udh jumat aja sesingkat ya,neutral
3312,pimpinan ngecopros bawahan nderomos jancuk deh,violence
3313,user islam ideologi negara yg mengembannya wajib menyebarkannya dg dakwah amp jihad a nyebarkan demokrasi amp ussr nyebarkan komunis karang dg jalan damai kadang dg perang dlm syariah hukum usyriyah amp kharajiyah,neutral
3314,user user user aduhternyata salah paham yadlm islam kafir dibedakan 3 kafir harbi muahid kafir dzimmi,neutral
3315,brondong tu jablay keknya udah muncrat berkali kali aja ga puas puas,harassment
3316,user iya anjir dah,violence
